way	weight	speed
0.0	0.0	0.0
1.0	0.0	4.43
2.0	6.19	6.16
3.0	12.0	7.43
4.0	17.44	8.45
5.0	22.53	9.3
6.0	27.31	10.03
7.0	31.79	10.67
8.0	35.98	11.24
9.0	39.91	11.75
10.0	43.59	12.2
11.0	47.04	12.61
12.0	50.27	12.99
13.0	53.3	13.33
14.0	56.14	13.64
15.0	58.8	13.92
16.0	61.29	14.19
17.0	63.62	14.43
18.0	65.81	14.65
19.0	67.86	14.85
20.0	69.78	15.04
21.0	71.58	15.22
22.0	73.26	15.38
23.0	74.84	15.53
24.0	76.32	15.67
25.0	77.71	15.8
26.0	79.0	15.92
27.0	80.22	16.03
28.0	81.36	16.14
29.0	82.43	16.23
30.0	83.43	16.32
31.0	84.37	16.41
32.0	85.25	16.49
33.0	86.07	16.56
34.0	86.84	16.63
35.0	87.56	16.69
36.0	88.24	16.75
37.0	88.87	16.8
38.0	89.47	16.86
39.0	90.02	16.9
40.0	90.54	16.95
41.0	91.03	16.99
42.0	91.49	17.03
43.0	91.92	17.07
44.0	92.32	17.1
45.0	92.7	17.13
46.0	93.05	17.16
47.0	93.38	17.19
48.0	93.69	17.21
49.0	93.98	17.24
50.0	94.25	17.26
51.0	94.5	17.28
52.0	94.74	17.3
53.0	94.96	17.32
54.0	95.17	17.34
55.0	95.37	17.35
56.0	95.55	17.37
57.0	95.72	17.38
58.0	95.88	17.39
59.0	96.03	17.4
60.0	96.18	17.42
61.0	96.31	17.43
62.0	96.43	17.43
63.0	96.55	17.44
64.0	96.66	17.45
65.0	96.76	17.46
66.0	96.85	17.47
67.0	96.94	17.47
68.0	97.03	17.48
69.0	97.1	17.49
70.0	97.18	17.49
71.0	97.25	17.5
72.0	97.31	17.5
73.0	97.37	17.5
74.0	97.43	17.51
75.0	97.48	17.51
76.0	97.53	17.52
77.0	97.58	17.52
78.0	97.62	17.52
79.0	97.66	17.52
80.0	97.7	17.53
81.0	97.73	17.53
82.0	97.77	17.53
83.0	97.8	17.53
84.0	97.83	17.53
85.0	97.85	17.54
86.0	97.88	17.54
87.0	97.9	17.54
88.0	97.93	17.54
89.0	97.95	17.54
90.0	97.97	17.54
91.0	97.99	17.54
92.0	98.0	17.54
93.0	98.02	17.54
94.0	98.03	17.54
95.0	98.05	17.54
96.0	98.06	17.54
97.0	98.07	17.54
98.0	98.09	17.54
99.0	98.1	17.54
100.0	98.11	17.54
101.0	98.12	17.54
102.0	98.13	17.54
103.0	98.13	17.54
104.0	98.14	17.54
105.0	98.15	17.54
106.0	98.16	17.54
107.0	98.16	17.54
108.0	98.17	17.54
109.0	98.18	17.54
110.0	98.18	17.54
111.0	98.19	17.54
112.0	98.19	17.54
113.0	98.2	17.54
114.0	98.2	17.54
115.0	98.2	17.54
116.0	98.21	17.54
117.0	98.21	17.54
118.0	98.21	17.54
119.0	98.22	17.54
120.0	98.22	17.54
121.0	98.22	17.54
122.0	98.23	17.53
123.0	98.23	17.53
124.0	98.23	17.53
125.0	98.23	17.53
126.0	98.23	17.53
127.0	98.23	17.53
128.0	98.24	17.53
129.0	98.24	17.53
130.0	98.24	17.53
131.0	98.24	17.53
132.0	98.24	17.53
133.0	98.24	17.53
134.0	98.24	17.53
135.0	98.24	17.52
136.0	98.25	17.52
137.0	98.25	17.52
138.0	98.25	17.52
139.0	98.25	17.52
140.0	98.25	17.52
141.0	98.25	17.52
142.0	98.25	17.52
143.0	98.25	17.52
144.0	98.25	17.52
145.0	98.25	17.52
146.0	98.25	17.52
147.0	98.25	17.52
148.0	98.25	17.51
149.0	98.25	17.51
150.0	98.25	17.51
151.0	98.25	17.51
152.0	98.26	17.51
153.0	98.26	17.51
154.0	98.26	17.51
155.0	98.26	17.51
156.0	98.26	17.51
157.0	98.26	17.51
158.0	98.26	17.51
159.0	98.26	17.51
160.0	98.26	17.5
161.0	98.26	17.5
162.0	98.26	17.5
163.0	98.26	17.5
164.0	98.26	17.5
165.0	98.26	17.5
166.0	98.26	17.5
167.0	98.26	17.5
168.0	98.26	17.5
169.0	98.26	17.5
170.0	98.26	17.5
171.0	98.26	17.5
172.0	98.26	17.49
173.0	98.26	17.49
174.0	98.26	17.49
175.0	98.26	17.49
176.0	98.26	17.49
177.0	98.26	17.49
178.0	98.26	17.49
179.0	98.26	17.49
180.0	98.26	17.49
181.0	98.26	17.49
182.0	98.26	17.49
183.0	98.26	17.49
184.0	98.26	17.48
185.0	98.26	17.48
186.0	98.26	17.48
187.0	98.26	17.48
188.0	98.26	17.48
189.0	98.26	17.48
190.0	98.26	17.48
191.0	98.26	17.48
192.0	98.26	17.48
193.0	98.26	17.48
194.0	98.26	17.48
195.0	98.26	17.48
196.0	98.26	17.47
197.0	98.26	17.47
198.0	98.26	17.47
199.0	98.26	17.47
200.0	98.26	17.47
201.0	98.26	17.47
202.0	98.26	17.47
203.0	98.26	17.47
204.0	98.26	17.47
205.0	98.26	17.47
206.0	98.26	17.47
207.0	98.26	17.46
208.0	98.26	17.46
209.0	98.26	17.46
210.0	98.26	17.46
211.0	98.26	17.46
212.0	98.26	17.46
213.0	98.26	17.46
214.0	98.26	17.46
215.0	98.26	17.46
216.0	98.26	17.46
217.0	98.26	17.46
218.0	98.26	17.46
219.0	98.26	17.45
220.0	98.26	17.45
221.0	98.26	17.45
222.0	98.26	17.45
223.0	98.26	17.45
224.0	98.26	17.45
225.0	98.26	17.45
226.0	98.26	17.45
227.0	98.26	17.45
228.0	98.26	17.45
229.0	98.26	17.45
230.0	98.26	17.45
231.0	98.26	17.44
232.0	98.26	17.44
233.0	98.26	17.44
234.0	98.26	17.44
235.0	98.26	17.44
236.0	98.26	17.44
237.0	98.26	17.44
238.0	98.26	17.44
239.0	98.26	17.44
240.0	98.26	17.44
241.0	98.26	17.44
242.0	98.26	17.44
243.0	98.26	17.43
244.0	98.26	17.43
245.0	98.26	17.43
246.0	98.26	17.43
247.0	98.26	17.43
248.0	98.26	17.43
249.0	98.26	17.43
250.0	98.26	17.43
251.0	98.26	17.43
252.0	98.26	17.43
253.0	98.26	17.43
254.0	98.26	17.43
255.0	98.26	17.42
256.0	98.26	17.42
257.0	98.26	17.42
258.0	98.26	17.42
259.0	98.26	17.42
260.0	98.26	17.42
261.0	98.26	17.42
262.0	98.26	17.42
263.0	98.26	17.42
264.0	98.26	17.42
265.0	98.26	17.42
266.0	98.26	17.42
267.0	98.26	17.41
268.0	98.26	17.41
269.0	98.26	17.41
270.0	98.26	17.41
271.0	98.26	17.41
272.0	98.26	17.41
273.0	98.26	17.41
274.0	98.26	17.41
275.0	98.26	17.41
276.0	98.26	17.41
277.0	98.26	17.41
278.0	98.26	17.41
279.0	98.26	17.4
280.0	98.26	17.4
281.0	98.26	17.4
282.0	98.26	17.4
283.0	98.26	17.4
284.0	98.26	17.4
285.0	98.26	17.4
286.0	98.26	17.4
287.0	98.26	17.4
288.0	98.26	17.4
289.0	98.26	17.4
290.0	98.26	17.4
291.0	98.26	17.39
292.0	98.26	17.39
293.0	98.26	17.39
294.0	98.26	17.39
295.0	98.26	17.39
296.0	98.26	17.39
297.0	98.26	17.39
298.0	98.26	17.39
299.0	98.26	17.39
300.0	98.26	17.39
301.0	98.26	17.39
302.0	98.26	17.39
303.0	98.26	17.38
304.0	98.26	17.38
305.0	98.26	17.38
306.0	98.26	17.38
307.0	98.26	17.38
308.0	98.26	17.38
309.0	98.26	17.38
310.0	98.26	17.38
311.0	98.26	17.38
312.0	98.26	17.38
313.0	98.26	17.38
314.0	98.26	17.38
315.0	98.26	17.37
316.0	98.26	17.37
317.0	98.26	17.37
318.0	98.26	17.37
319.0	98.26	17.37
320.0	98.26	17.37
321.0	98.26	17.37
322.0	98.26	17.37
323.0	98.26	17.37
324.0	98.26	17.37
325.0	98.26	17.37
326.0	98.26	17.37
327.0	98.26	17.36
328.0	98.26	17.36
329.0	98.26	17.36
330.0	98.26	17.36
331.0	98.26	17.36
332.0	98.26	17.36
333.0	98.26	17.36
334.0	98.26	17.36
335.0	98.26	17.36
336.0	98.26	17.36
337.0	98.26	17.36
338.0	98.26	17.36
339.0	98.26	17.35
340.0	98.26	17.35
341.0	98.26	17.35
342.0	98.26	17.35
343.0	98.26	17.35
344.0	98.26	17.35
345.0	98.26	17.35
346.0	98.26	17.35
347.0	98.26	17.35
348.0	98.26	17.35
349.0	98.26	17.35
350.0	98.26	17.35
351.0	98.26	17.34
352.0	98.26	17.34
353.0	98.26	17.34
354.0	98.26	17.34
355.0	98.26	17.34
356.0	98.26	17.34
357.0	98.26	17.34
358.0	98.26	17.34
359.0	98.26	17.34
360.0	98.26	17.34
361.0	98.26	17.34
362.0	98.26	17.34
363.0	98.26	17.33
364.0	98.26	17.33
365.0	98.26	17.33
366.0	98.26	17.33
367.0	98.26	17.33
368.0	98.26	17.33
369.0	98.26	17.33
370.0	98.26	17.33
371.0	98.26	17.33
372.0	98.26	17.33
373.0	98.26	17.33
374.0	98.26	17.33
375.0	98.26	17.32
376.0	98.26	17.32
377.0	98.26	17.32
378.0	98.26	17.32
379.0	98.26	17.32
380.0	98.26	17.32
381.0	98.26	17.32
382.0	98.26	17.32
383.0	98.26	17.32
